Latitude,Longitude,Site,mean_size,sd_size
19.2996,-155.084,HAW-28,0.1598915989,0.9549163344
22.1642,-159.298933,KAU-02,0.4664914586,2.0511214943
20.192383,-155.703383,HAW-20,0.8122866894,2.600497692
21.5337,-158.2333,OAH-04,1.0679933665,2.4454895331
21.5614,-158.2616,OAH-02,1.1,2.5262441584
20.7337,-156.9213,LAN-06,1.2920604915,5.8543301869
20.7751,-156.9897,LAN-03,1.5652648826,3.3400983957
21.3192,-157.6541,OAH-12,1.6765327696,5.1526506084
20.2472,-155.7766,HAW-21,1.686940966,3.8748834343
20.9141,-156.2144,MAI-19,1.8741935484,4.3039199732
21.990383,-160.124833,NII-04,2.0505952381,2.7902494838
20.8706,-156.8348,LAN-07,2.0962025316,5.9002590289
21.9458,-160.1633,NII-09,2.2380952381,4.8049513633
21.8897,-159.6088,KAU-06,2.3043478261,4.7356991143
21.43575,-157.791533,E,2.4226804124,14.3171588431
20.7412,-156.8758,LAN-05,2.5951219512,6.4432409967
21.1861,-157.2534,MOL-05,2.669921875,5.0051278591
20.267028,-155.847965,HAW-32,2.778177458,4.4831233257
20.9869,-156.5269,MAI-10,2.7869565217,4.8345158702
22.0068,-160.079,NII-07,2.8111888112,3.4231009929
22.2306,-159.4054,KAU-03,2.8120300752,6.2633498346
20.6597,-156.0411,MAI-14,2.8352553542,4.5954356634
20.948,-156.2817,MAI-20,2.8790560472,5.2572973511
21.9304,-159.6595,KAU-12,2.9077490775,6.8585425854
19.424,-154.8806,HAW-08,3.0202839757,7.3087814929
21.03055,-156.589983,MAI-12,3.0781609195,4.9577343868
21.8689,-159.4472,KAU-05,3.0869565217,8.0004363575
21.007433,-156.667717,MAI-07,3.1536796537,4.6770053512
20.78,-156.8203,LAN-04,3.2307692308,8.5596843605
22.0216,-160.0939,LEH-02,3.3680981595,3.3443467229
22.0165,-160.0914,LEH-01,3.4795321637,3.721758455
18.939,-155.6884,HAW-14,3.5509933775,8.1211635917
20.655417,-156.4449,MAI-06,3.5625,5.5233219577
19.394,-154.9274,HAW-09,3.6293103448,7.8806356704
21.1699,-156.8784,MOL-07,3.6343283582,6.9320306808
19.29970773,-155.0840717,HAW-28,3.956284153,3.9541675561
21.5912,-158.2095,OAH-03,3.9744680851,7.6011264371
27.785467,-175.82375,PHR_R33,4,1.6589565251
21.442697,-157.787061,I,4.0832646331,17.8476452458
19.2533,-155.197,HAW-10,4.1203703704,6.6618247434
22.23061443,-159.405432,KAU-03,4.1829268293,3.4964816488
20.24713713,-155.7766393,HAW-21,4.204620462,5.3349135967
19.2672,-155.2554,HAW-11,4.2450199203,7.0556474386
19.999,-155.2494,HAW-29,4.3483870968,9.0540223666
22.2265,-159.5646,KAU-13,4.4117647059,11.4388399247
20.26707508,-155.8476048,HAW-32,4.4301470588,3.9873752773
21.1249,-157.3032,MOL-02,4.512605042,6.6937823903
20.91415146,-156.2142809,MAI-19,4.5168269231,4.1681182983
20.745567,-155.981317,MAI-13,4.5223048327,5.3836486596
20.863133,-156.151317,MAI-02,4.6753246753,8.814322899
21.18365,-156.9245,MOL-06,4.7923076923,4.3196527707
21.45151301,-158.2050134,OAH-17,4.8322147651,3.1502953198
21.443567,-157.789117,J,4.8634064081,20.727394717
20.19257446,-155.7033439,HAW-20,5,5.1680616056
27.772788,-175.939602,PHR_31,5,NA
28.27393,-177.3508,MID_r23_21,5,NA
20.98681343,-156.5269317,MAI-10,5.0214285714,5.2418381022
19.006233,-155.7963,HAW-23,5.1046025105,13.2198606921
21.170467,-156.843733,MOL-08,5.3333333333,3.5714170969
22.1669,-159.6802,KAU-08,5.3416149068,5.8513946949
22.1377,-159.7613,KAU-15,5.477124183,6.9746580442
22.16684307,-159.6800101,KAU-08,5.5327868852,3.4549866374
18.968567,-155.73085,HAW-22,5.5418569254,11.6437921107
21.18619108,-157.2533507,MOL-05,5.6240875912,4.172244335
27.78578,-175.82842,PHR_40101,5.7021276596,5.1284156958
20.832,-156.6481,MAI-08,5.8593040847,10.9554134453
21.87514286,-160.122432,NII-02,5.8947368421,4.1216870446
21.95202026,-160.062603,NII-01,5.9219858156,4.1141556205
20.0582,-155.3661,HAW-30,5.953271028,9.1265921668
22.22113073,-159.5916966,KAU-07,5.9696969697,5.9375225808
20.74554898,-155.9812924,MAI-13,5.9900249377,6.0199584923
20.65965434,-156.0411189,MAI-14,6.0051948052,5.029597195
21.4378,-157.790319,D,6.137829912,20.1081161421
20.7623,-155.9798,MAI-01,6.1893004115,10.3467350584
21.00742822,-156.6677906,MAI-07,6.2034632035,5.5751374133
21.99038029,-160.124829,NII-04,6.2352941176,4.5813302085
22.05361445,-159.3134797,KAU-01,6.3032786885,4.2052492664
22.11233899,-159.7471336,KAU-09,6.3068181818,4.2598309678
27.775752,-175.973484,PHR_32,6.4,2.9451119182
21.0642866,-156.9867609,MOL-14,6.4285714286,2.1491969707
19.7077,-154.9843,HAW-25,6.4365384615,7.3037464677
18.965417,-155.6182,HAW-12,6.4821428571,16.6055607208
20.09518915,-155.4463331,HAW-31,6.62109375,6.257934914
23.62992,-166.11151,FFS-4112,6.6428571429,3.7948779824
21.81669963,-160.1860375,NII-03,6.6666666667,3.0550504633
21.437208,-157.787539,C,6.6726618705,18.9011339653
27.78471417,-175.8880516,PHR_4069,6.7384615385,3.3553917575
19.0383,-155.8826,HAW-24,6.8103130755,7.689483671
20.77520558,-156.9900771,LAN-03,6.8311499272,5.6460741788
21.90682026,-160.2109742,NII-05,6.84375,5.1999340877
27.7900146,-175.8737878,PHR_4048,6.9230769231,4.8038446142
22.16405324,-159.298801,KAU-02,6.9328358209,4.4302408516
19.0755,-155.5525,HAW-17,6.9624724062,11.4557982798
19.339767,-154.989483,HAW-33,7,3.9938477277
21.31181502,-158.1273883,OAH-01,7.2198275862,5.3394670329
21.12473555,-157.3034402,MOL-02,7.2324561404,5.995842842
20.94806188,-156.2818276,MAI-20,7.4818181818,7.5673316364
27.9578,-175.80208,PHR_tc26,7.5,2.8867513459
22.20886029,-159.5115982,KAU-307,7.6923076923,6.1696112166
22.21768652,-159.5038459,KAU-338,7.7857142857,7.8267644502
21.28634267,-158.0404096,OAH-13,7.7878787879,6.6437133998
21.94592712,-160.1630919,NII-09,7.8,7.3795083073
22.20584532,-159.5088414,KAU-301,7.8181818182,6.8635431891
21.03058616,-156.5900207,MAI-12,7.8510638298,7.1210085168
