nCol,PercentCover,xreef,yreef,SFDmu,SFDsig,prevalence,PoplnPrevalence,BTstptx,BTstpty,BTlength,BTwidth,BTctcols,BTctdis,ETstptx,ETstpty,ETcclength,ETccwidth,ETdclength,ETdcwidth,ETctcols,ETctdis,LIstptx,LIstpty,LIlength,LIctcols,LIctdis
100,0.03228,50,10,-1,0.5,0.2,0.21,5,5,25,2,8,1,5,5,5,2,25,10,50,7,5,5,25,3,0
100,0.03701,50,10,-1,0.5,0.2,0.17,5,5,25,2,9,4,5,5,5,2,25,10,25,11,5,5,25,0,0
100,0.03405,50,10,-1,0.5,0.2,0.18,5,5,25,2,9,2,5,5,5,2,25,10,0,9,5,5,25,3,1
100,0.02817,50,10,-1,0.5,0.2,0.12,5,5,25,2,14,1,5,5,5,2,25,10,75,7,5,5,25,3,0
100,0.03293,50,10,-1,0.5,0.2,0.25,5,5,25,2,7,2,5,5,5,2,25,10,25,14,5,5,25,0,0
100,0.03652,50,10,-1,0.5,0.2,0.21,5,5,25,2,11,1,5,5,5,2,25,10,75,7,5,5,25,3,1
100,0.02985,50,10,-1,0.5,0.2,0.19,5,5,25,2,8,1,5,5,5,2,25,10,25,7,5,5,25,1,0
100,0.03605,50,10,-1,0.5,0.2,0.16,5,5,25,2,12,2,5,5,5,2,25,10,25,9,5,5,25,2,0
100,0.03468,50,10,-1,0.5,0.2,0.15,5,5,25,2,7,1,5,5,5,2,25,10,50,9,5,5,25,4,1
100,0.03567,50,10,-1,0.5,0.2,0.2,5,5,25,2,16,3,5,5,5,2,25,10,100,9,5,5,25,1,0
100,0.04233,50,10,-1,0.5,0.2,0.18,5,5,25,2,6,0,5,5,5,2,25,10,50,7,5,5,25,1,0
100,0.03243,50,10,-1,0.5,0.2,0.25,5,5,25,2,10,3,5,5,5,2,25,10,50,14,5,5,25,1,0
100,0.02493,50,10,-1,0.5,0.2,0.19,5,5,25,2,11,1,5,5,5,2,25,10,75,7,5,5,25,2,0
100,0.03058,50,10,-1,0.5,0.2,0.18,5,5,25,2,7,2,5,5,5,2,25,10,25,9,5,5,25,0,0
100,0.03851,50,10,-1,0.5,0.2,0.15,5,5,25,2,11,3,5,5,5,2,25,10,25,7,5,5,25,1,0
100,0.03031,50,10,-1,0.5,0.2,0.16,5,5,25,2,5,0,5,5,5,2,25,10,25,8,5,5,25,0,0
100,0.03630,50,10,-1,0.5,0.2,0.22,5,5,25,2,9,1,5,5,5,2,25,10,25,10,5,5,25,2,0
100,0.03234,50,10,-1,0.5,0.2,0.29,5,5,25,2,10,4,5,5,5,2,25,10,50,14,5,5,25,3,2
100,0.02512,50,10,-1,0.5,0.2,0.18,5,5,25,2,8,1,5,5,5,2,25,10,50,10,5,5,25,0,0
100,0.04400,50,10,-1,0.5,0.2,0.19,5,5,25,2,14,4,5,5,5,2,25,10,25,10,5,5,25,3,0
100,0.03278,50,10,-1,0.5,0.2,0.21,5,5,25,2,13,3,5,5,5,2,25,10,50,8,5,5,25,2,0
100,0.03282,50,10,-1,0.5,0.2,0.23,5,5,25,2,7,1,5,5,5,2,25,10,0,9,5,5,25,1,0
100,0.03415,50,10,-1,0.5,0.2,0.26,5,5,25,2,12,5,5,5,5,2,25,10,50,16,5,5,25,2,1
100,0.03511,50,10,-1,0.5,0.2,0.22,5,5,25,2,11,2,5,5,5,2,25,10,75,9,5,5,25,0,0
100,0.03186,50,10,-1,0.5,0.2,0.28,5,5,25,2,15,1,5,5,5,2,25,10,25,13,5,5,25,3,0
100,0.03768,50,10,-1,0.5,0.2,0.24,5,5,25,2,10,2,5,5,5,2,25,10,25,11,5,5,25,1,1
100,0.04088,50,10,-1,0.5,0.2,0.19,5,5,25,2,10,2,5,5,5,2,25,10,0,7,5,5,25,3,1
100,0.03537,50,10,-1,0.5,0.2,0.19,5,5,25,2,10,2,5,5,5,2,25,10,50,8,5,5,25,2,0
100,0.03493,50,10,-1,0.5,0.2,0.22,5,5,25,2,6,1,5,5,5,2,25,10,25,11,5,5,25,1,0
100,0.03601,50,10,-1,0.5,0.2,0.18,5,5,25,2,11,2,5,5,5,2,25,10,100,8,5,5,25,3,0
100,0.04951,50,10,-1,0.5,0.2,0.15,5,5,25,2,12,2,5,5,5,2,25,10,75,6,5,5,25,2,1
100,0.03722,50,10,-1,0.5,0.2,0.17,5,5,25,2,6,1,5,5,5,2,25,10,0,5,5,5,25,3,1
100,0.03595,50,10,-1,0.5,0.2,0.23,5,5,25,2,6,4,5,5,5,2,25,10,25,11,5,5,25,2,1
100,0.04324,50,10,-1,0.5,0.2,0.2,5,5,25,2,15,4,5,5,5,2,25,10,100,9,5,5,25,5,2
100,0.03619,50,10,-1,0.5,0.2,0.21,5,5,25,2,8,1,5,5,5,2,25,10,25,8,5,5,25,2,1
100,0.03994,50,10,-1,0.5,0.2,0.12,5,5,25,2,11,0,5,5,5,2,25,10,100,6,5,5,25,2,0
100,0.03717,50,10,-1,0.5,0.2,0.18,5,5,25,2,12,4,5,5,5,2,25,10,75,10,5,5,25,3,1
100,0.03290,50,10,-1,0.5,0.2,0.27,5,5,25,2,9,3,5,5,5,2,25,10,75,10,5,5,25,3,1
100,0.03918,50,10,-1,0.5,0.2,0.17,5,5,25,2,8,1,5,5,5,2,25,10,0,8,5,5,25,4,1
100,0.04331,50,10,-1,0.5,0.2,0.12,5,5,25,2,11,2,5,5,5,2,25,10,25,7,5,5,25,2,0
100,0.03175,50,10,-1,0.5,0.2,0.24,5,5,25,2,15,3,5,5,5,2,25,10,125,14,5,5,25,2,1
100,0.03632,50,10,-1,0.5,0.2,0.12,5,5,25,2,7,0,5,5,5,2,25,10,75,5,5,5,25,0,0
100,0.03539,50,10,-1,0.5,0.2,0.24,5,5,25,2,10,3,5,5,5,2,25,10,50,13,5,5,25,2,1
100,0.03876,50,10,-1,0.5,0.2,0.25,5,5,25,2,9,1,5,5,5,2,25,10,0,15,5,5,25,3,1
100,0.04198,50,10,-1,0.5,0.2,0.16,5,5,25,2,16,3,5,5,5,2,25,10,75,7,5,5,25,4,1
