Species,distance
Montastrea,0.1
Montastrea,0.1
Montastrea,0.1
Montastrea,0.1
Montastrea,0.1
Montastrea,0.1
Montastrea,0.1
Montastrea,0.1
Montastrea,0.1
Montastrea,0.1
Montastrea,0.1
Montastrea,0.1
Montastrea,0.1
Montastrea,1
Montastrea,1
Montastrea,1
Montastrea,1
Montastrea,1
Montastrea,1
Montastrea,1
Montastrea,1
Montastrea,1
Montastrea,1
Montastrea,1
Montastrea,1
Montastrea,1
Montastrea,1
Montastrea,1
Montastrea,1
Montastrea,1
Montastrea,2
Montastrea,2
Montastrea,2
Montastrea,2
Montastrea,2
Montastrea,2
Montastrea,2
Montastrea,2
Montastrea,2
Montastrea,2
Montastrea,2
Montastrea,2
Montastrea,2
Montastrea,2
Montastrea,2
Montastrea,2
Montastrea,3
Montastrea,3
Montastrea,3
Montastrea,3
Montastrea,3
Montastrea,3
Montastrea,3
Montastrea,3
Montastrea,3
Montastrea,3
Montastrea,3
Montastrea,3
Montastrea,3
Montastrea,4
Montastrea,4
Montastrea,4
Montastrea,4
Montastrea,4
Montastrea,4
Montastrea,4
Montastrea,4
Montastrea,4
Montastrea,4
Montastrea,4
Montastrea,5
Montastrea,5
Montastrea,5
Montastrea,5
Montastrea,5
Montastrea,5
Montastrea,5
Montastrea,5
Montastrea,5
Montastrea,5
Montastrea,5
Montastrea,6
Montastrea,6
Montastrea,6
Montastrea,6
Montastrea,6
Montastrea,6
Montastrea,6
Montastrea,6
Montastrea,7
Montastrea,7
Montastrea,7
Montastrea,8
Montastrea,8
Montastrea,8
Montastrea,9
Montastrea,9
Montastrea,9
Montastrea,10
Montastrea,10
Montastrea,10
Montastrea,10
Montastrea,11
Siderastrea,0.1
Siderastrea,0.1
Siderastrea,0.1
Siderastrea,0.1
Siderastrea,1
Siderastrea,1
Siderastrea,1
Siderastrea,1
Siderastrea,1
Siderastrea,1
Siderastrea,1
Siderastrea,1
Siderastrea,1
Siderastrea,1
Siderastrea,2
Siderastrea,2
Siderastrea,2
Siderastrea,2
Siderastrea,2
Siderastrea,2
Siderastrea,2
Siderastrea,2
Siderastrea,2
Siderastrea,2
Siderastrea,2
Siderastrea,2
Siderastrea,2
Siderastrea,2
Siderastrea,2
Siderastrea,3
Siderastrea,3
Siderastrea,3
Siderastrea,3
Siderastrea,3
Siderastrea,3
Siderastrea,3
Siderastrea,3
Siderastrea,3
Siderastrea,3
Siderastrea,3
Siderastrea,3
Siderastrea,3
Siderastrea,3
Siderastrea,3
Siderastrea,3
Siderastrea,4
Siderastrea,4
Siderastrea,4
Siderastrea,4
Siderastrea,4
Siderastrea,4
Siderastrea,4
Siderastrea,4
Siderastrea,4
Siderastrea,4
Siderastrea,4
Siderastrea,4
Siderastrea,4
Siderastrea,4
Siderastrea,4
Siderastrea,5
Siderastrea,5
Siderastrea,5
Siderastrea,5
Siderastrea,5
Siderastrea,5
Siderastrea,5
Siderastrea,5
Siderastrea,5
Siderastrea,5
Siderastrea,5
Siderastrea,5
Siderastrea,5
Siderastrea,5
Siderastrea,5
Siderastrea,6
Siderastrea,6
Siderastrea,6
Siderastrea,6
Siderastrea,6
Siderastrea,6
Siderastrea,6
Siderastrea,6
Siderastrea,6
Siderastrea,6
Siderastrea,7
Siderastrea,7
Siderastrea,7
Siderastrea,7
Siderastrea,7
Siderastrea,7
Siderastrea,7
Siderastrea,7
Siderastrea,8
Siderastrea,8
Siderastrea,8
Siderastrea,8
Siderastrea,8
Siderastrea,9
Siderastrea,9
Siderastrea,9
Siderastrea,10
