"Date","Project","Region","Island","Site","Latitude","Longitude","Survey_Method","Depth","Transect_Number","Transect_Distance","Transect_Segment","Transect_Length","Transect_Width","Survey_Area","Genus","Species","Colony_Length","Colony_Width","Size_Class","Disease_Type"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Montipora","Montipora_patula","","","","Healthy"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","140","","","Growth_anomalies"
2011-03-09,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa","105","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Montipora","Montipora_patula","","","","Healthy"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Pavona","Pavona_varians","","","","Healthy"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_compressa","40","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Cyphastrea","Cyphastrea_ocellina","","","","Healthy"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_compressa","20","","","Algal_overgrowth"
2011-03-09,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa","40","","","Pigmentation_response"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_compressa","30","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","20","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_lobata","","","","Healthy"
2011-03-09,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa","140","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","30","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_compressa","100","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","150","","","Growth_anomalies"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa","30","","","Tissue_Loss"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_compressa",">160","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa","40","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","40","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Porites","Porites_lobata","","","","Healthy"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Porites","Porites_evermanni",">160","","","Bleaching"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","40","","","Growth_anomalies"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata",">160","","","Growth_anomalies"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Porites","Porites_compressa","120","","","Growth_anomalies"
2011-03-09,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa","140","","","Growth_anomalies"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_compressa",">160","","","Tissue_Loss"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_compressa","25","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","110","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_compressa",">160","","","Growth_anomalies"
2011-03-09,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa","80","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_compressa","45","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","20","","","Algal_overgrowth"
2011-03-09,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa","105","","","Algal_overgrowth"
